"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ORBN0018","2012-09","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","3","4,N","0","4,N","0","4,N","","","","","","","","","20120923",",4,N","","","","","2.0","4,,N,23,","2.6",",a,,N","",""
"US1ORBN0018","2012-12","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","29",",N","21",",N","0",",N","","","","","","","","","20121202",",,N","","","","","24.6",",,N,02,","237.6",",,,N","",""
"US1ORBN0018","2013-01","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","18",",N","8",",N","0",",N","","","","","","","","","20130125",",,N","","","","","9.9",",,N,25,","51.0",",,,N","",""
"US1ORBN0018","2013-05","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","15","1,N","9","1,N","0","1,N","","","","","","","","","20130522",",1,N","","","","","10.2","1,,N,22,","55.9","1,,,N","",""
"US1ORBN0018","2013-07","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","1","4,N","0","4,N","0","4,N","","","","","","","","","20130716",",4,N","","","","","0.3","4,,N,16,","0.3",",a,,N","",""
"US1ORBN0018","2013-12","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","16","4,N","4","4,N","1","4,N","","","","","","","","","20131202",",4,N","","","","","27.7","4,,N,02,","54.4",",a,,N","",""
"US1ORBN0018","2014-01","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","21",",N","8",",N","0",",N","","","","","","","","","20140112",",,N","","","","","13.5",",,N,12,","68.5",",,,N","",""
"US1ORBN0018","2014-02","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","21",",N","17",",N","1",",N","","","","","","","","","20140214",",,N","","","","","25.7",",,N,14,","221.1",",,,N","",""
"US1ORBN0018","2014-05","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","13","2,N","5","2,N","0","2,N","","","","","","","","","20140509",",2,N","","","","","11.9","2,,N,09,","52.4","2,,,N","",""
"US1ORBN0018","2014-07","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","6","4,N","2","4,N","0","4,N","","","","","","","","","20140724",",4,N","","","","","6.6","4,,N,24,","14.5","2,a,,N","",""
"US1ORBN0018","2014-08","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","6","5,N","0","5,N","0","5,N","","","","","","","","","20140831",",5,N","","","","","2.0","5,,N,31,","5.8","1,a,,N","",""
"US1ORBN0018","2014-09","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","7",",N","3",",N","1",",N","","","","","","","","","20140924",",,N","","","","","25.9",",,N,24,","37.4",",,,N","",""
"US1ORBN0018","2015-01","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","23",",N","4",",N","1",",N","","","","","","","","","20150118",",,N","","","","","33.3",",,N,18,","84.0",",,,N","",""
"US1ORBN0018","2015-03","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","15","2,N","3","2,N","1","2,N","","","","","","","","","20150315",",2,N","","","","","41.7","2,,N,15,","86.4",",a,,N","",""
"US1ORBN0018","2015-08","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","3","3,N","2","3,N","0","3,N","","","","","","","","","20150830",",3,N","","","","","5.6","3,,N,30,","10.9","3,,,N","",""
"US1ORBN0018","2015-09","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","7","4,N","3","4,N","0","4,N","","","","","","","","","20150917",",4,N","","","","","14.2","4,,N,17,","26.2","4,,,N","",""
"US1ORBN0018","2015-12","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","31",",N","22",",N","4",",N","","","","","","","","","20151218",",,N","","","","","45.7",",,N,18,","368.7",",,,N","",""
"US1ORBN0018","2016-01","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","27","1,N","18","1,N","1","1,N","","","","","","","","","20160113",",1,N","","","","","26.9","1,,N,13,","221.6","1,,,N","",""
"US1ORBN0018","2016-03","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","23","4,N","17","4,N","0","4,N","","","","","","","","","20160314",",4,N","","","","","23.4","4,,N,14,","205.0",",a,,N","",""
"US1ORBN0018","2016-04","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","15","2,N","9","2,N","0","2,N","","","","","","","","","20160422",",2,N","","","","","24.1","2,,N,22,","90.5",",a,,N","",""
"US1ORBN0018","2016-06","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","","","","","","","","","","","","","","","","","","","","","","","16.1","1,a,,N","",""
"US1ORBN0018","2016-09","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","9","1,N","2","1,N","0","1,N","","","","","","","","","20160918",",1,N","","","","","8.9","1,,N,18,","16.6","1,,,N","",""
"US1ORBN0018","2016-12","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","22","5,N","12","5,N","0","5,N","","","","","","","","","20161220",",5,N","","","","","19.6","5,,N,20,","127.2","1,a,,N","",""
"US1ORBN0018","2017-01","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","20",",N","10",",N","1",",N","","","","","","","","","20170111",",,N","","","","","25.9",",,N,11,","147.0",",,,N","",""
"US1ORBN0018","2017-03","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","28","3,N","20","3,N","1","3,N","","","","","","","","","20170324",",3,N","","","","","26.7","3,,N,24,","182.0","3,,,N","",""
"US1ORBN0018","2017-05","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","11","2,N","5","2,N","0","2,N","","","","","","","","","20170513",",2,N","","","","","6.6","2,,N,13,","25.9","2,,,N","",""
"US1ORBN0018","2017-06","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","5","5,N","2","5,N","0","5,N","","","","","","","","","20170608",",5,N","","","","","11.4","5,,N,08,","31.9","1,a,,N","",""
"US1ORBN0018","2017-07","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","0","3,N","0","3,N","0","3,N","","","0","4,N","","","20170731","+,4,N","20170721",",3,N","","","0","4,,N,31,+","0.0","3,T,N,21,","0.0","3,T,,N","0","4,,,N"
"US1ORBN0018","2017-09","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","8",",N","4",",N","0",",N","","","","","","","","","20170920",",,N","","","","","14.5",",,N,20,","35.3",",,,N","",""
"US1ORBN0018","2018-01","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","24","2,N","16","2,N","0","2,N","","","","","","","","","20180124",",2,N","","","","","17.8","2,,N,24,","145.1",",a,,N","",""
"US1ORBN0018","2018-04","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","15","4,N","8","4,N","1","4,N","","","","","","","","","20180408",",4,N","","","","","41.7","4,,N,08,","109.3","4,,,N","",""
"US1ORBN0018","2018-05","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","","","","","","","","","","","","","","","","","","","","","","","4.3","2,a,,N","",""
"US1ORBN0018","2018-06","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","6","2,N","3","2,N","0","2,N","","","","","","","","","20180611","+,2,N","","","","","7.6","2,,N,11,+","20.1","2,,,N","",""
"US1ORBN0018","2018-07","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","0","5,N","0","5,N","0","5,N","","","","","","","","","20180705",",5,N","","","","","0.0","5,T,N,05,","0.0","1,T,,N","",""
"US1ORBN0018","2018-08","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","0","2,N","0","2,N","0","2,N","","","0","4,N","","","20180831","+,4,N","20180831","+,2,N","","","0","4,,N,31,+","0.0","2,T,N,31,+","0.0","2,T,,N","0","4,,,N"
"US1ORBN0018","2018-09","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","8","4,N","2","4,N","0","4,N","","","","","","","","","20180913",",4,N","","","","","7.1","4,,N,13,","18.1","4,,,N","",""
"US1ORBN0018","2018-12","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","22",",N","13",",N","1",",N","","","","","","","","","20181218",",,N","","","","","51.8",",,N,18,","178.9",",,,N","",""
"US1ORBN0018","2019-01","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","19","1,N","11","1,N","0","1,N","","","","","","","","","20190119",",1,N","","","","","18.5","1,,N,19,","103.5","1,,,N","",""
"US1ORBN0018","2019-05","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","13","4,N","6","4,N","0","4,N","","","","","","","","","20190519",",4,N","","","","","15.5","4,,N,19,","49.8",",a,,N","",""
"US1ORBN0018","2019-06","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","3","3,N","0","3,N","0","3,N","","","","","","","","","20190621",",3,N","","","","","2.3","3,,N,21,","4.1","3,,,N","",""
"US1ORBN0018","2019-07","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","6","4,N","1","4,N","0","4,N","","","","","","","","","20190710",",4,N","","","","","12.4","4,,N,10,","16.8","2,a,,N","",""
"US1ORBN0018","2019-08","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","1","4,N","1","4,N","0","4,N","","","","","","","","","20190822",",4,N","","","","","4.8","4,,N,22,","5.3",",a,,N","",""
"US1ORBN0018","2019-09","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","","","","","","","","","","","","","","","","","","","","","","","98.4","5,a,,N","",""
"US1ORBN0018","2019-10","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","12","2,N","8","2,N","0","2,N","","","","","","","","","20191019",",2,N","","","","","13.7","2,,N,19,","57.5",",a,,N","",""
"US1ORBN0018","2019-11","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","10",",N","4",",N","0",",N","","","","","","","","","20191119",",,N","","","","","9.1",",,N,19,","30.2",",,,N","",""
"US1ORBN0018","2019-12","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","21",",N","12",",N","0",",N","","","","","","","","","20191221",",,N","","","","","18.5",",,N,21,","118.5",",,,N","",""
"US1ORBN0018","2020-01","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","29",",N","21",",N","0",",N","","","","","","","","","20200111",",,N","","","","","22.1",",,N,11,","246.3",",,,N","",""
"US1ORBN0018","2020-02","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","12","1,N","5","1,N","0","1,N","","","","","","","","","20200216",",1,N","","","","","18.0","1,,N,16,","44.9","1,,,N","",""
"US1ORBN0018","2020-03","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","16",",N","10",",N","0",",N","","","","","","","","","20200314",",,N","","","","","16.5",",,N,14,","79.5",",,,N","",""
"US1ORBN0018","2020-04","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","11","1,N","8","1,N","0","1,N","","","","","","","","","20200422",",1,N","","","","","14.2","1,,N,22,","54.3","1,,,N","",""
"US1ORBN0018","2020-05","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","13","2,N","8","2,N","0","2,N","","","","","","","","","20200518",",2,N","","","","","21.8","2,,N,18,","68.7","2,,,N","",""
"US1ORBN0018","2020-06","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","12",",N","9",",N","0",",N","","","","","","","","","20200617",",,N","","","","","7.4",",,N,17,","43.5",",,,N","",""
"US1ORBN0018","2020-07","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","1","1,N","0","1,N","0","1,N","","","0","4,N","","","20200731","+,4,N","20200702",",1,N","","","0","4,,N,31,+","0.3","1,,N,02,","0.3","1,,,N","0","4,,,N"
"US1ORBN0018","2020-08","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","2",",N","0",",N","0",",N","","","0","5,N","","","20200831","+,5,N","20200807","+,,N","","","0","5,,N,31,+","1.3",",,N,07,+","2.6",",,,N","0","5,,,N"
"US1ORBN0018","2020-09","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","6","1,N","5","1,N","0","1,N","","","","","","","","","20200919",",1,N","","","","","14.2","1,,N,19,","39.1","1,,,N","",""
"US1ORBN0018","2020-10","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","9",",N","4",",N","0",",N","","","","","","","","","20201010",",,N","","","","","17.0",",,N,10,","48.4",",,,N","",""
"US1ORBN0018","2020-11","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","24",",N","14",",N","1",",N","","","","","","","","","20201115",",,N","","","","","27.9",",,N,15,","165.2",",,,N","",""
"US1ORBN0018","2020-12","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","24","2,N","14","2,N","1","2,N","","","","","","","","","20201220",",2,N","","","","","48.0","2,,N,20,","171.5","2,,,N","",""
"US1ORBN0018","2021-01","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","28",",N","14",",N","2",",N","","","","","","","","","20210113",",,N","","","","","28.2",",,N,13,","187.1",",,,N","",""
"US1ORBN0018","2021-02","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","23",",N","13",",N","1",",N","","","","","","","","","20210203",",,N","","","","","27.7",",,N,03,","158.0",",,,N","",""
"US1ORBN0018","2021-03","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","20",",N","9",",N","0",",N","","","","","","","","","20210310",",,N","","","","","9.1",",,N,10,","56.2",",,,N","",""
"US1ORBN0018","2021-04","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","7",",N","2",",N","0",",N","","","","","","","","","20210425",",,N","","","","","4.1",",,N,25,","12.5",",,,N","",""
"US1ORBN0018","2021-05","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","12","1,N","4","1,N","0","1,N","","","","","","","","","20210501",",1,N","","","","","8.4","1,,N,01,","26.7","1,,,N","",""
"US1ORBN0018","2021-06","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","7","1,N","3","1,N","0","1,N","","","","","","","","","20210613",",1,N","","","","","24.9","1,,N,13,","46.9","1,,,N","",""
"US1ORBN0018","2021-07","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","0","2,N","0","2,N","0","2,N","","","0","4,N","","","20210731","+,4,N","20210709","+,2,N","","","0","4,,N,31,+","0.0","2,T,N,09,+","0.0","2,T,,N","0","4,,,N"
"US1ORBN0018","2021-08","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","1","1,N","0","1,N","0","1,N","","","0","2,N","","","20210831","+,2,N","20210826",",1,N","","","0","2,,N,31,+","0.5","1,,N,26,","0.5","1,,,N","0","2,,,N"
"US1ORBN0018","2021-09","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","8","1,N","4","1,N","0","1,N","","","","","","","","","20210918",",1,N","","","","","18.3","1,,N,18,","53.1","1,,,N","",""
"US1ORBN0018","2021-10","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","23",",N","10",",N","0",",N","","","","","","","","","20211022",",,N","","","","","18.3",",,N,22,","80.7",",,,N","",""
"US1ORBN0018","2021-11","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","26",",N","15",",N","1",",N","","","","","","","","","20211111",",,N","","","","","32.5",",,N,11,","138.2",",,,N","",""
"US1ORBN0018","2021-12","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","25",",N","19",",N","3",",N","","","","","","","","","20211220",",,N","","","","","48.3",",,N,20,","283.7",",,,N","",""
"US1ORBN0018","2022-01","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","20",",N","6",",N","1",",N","","","","","","","","","20220103",",,N","","","","","37.3",",,N,03,","103.8",",,,N","",""
"US1ORBN0018","2022-02","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","10",",N","5",",N","0",",N","","","","","","","","","20220228",",,N","","","","","17.0",",,N,28,","32.8",",,,N","",""
"US1ORBN0018","2022-03","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","21",",N","9",",N","2",",N","","","","","","","","","20220301",",,N","","","","","28.7",",,N,01,","112.5",",,,N","",""
"US1ORBN0018","2022-04","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","","","","","","","","","","","","","","","","","","","","","","","127.4","5,a,,N","",""
"US1ORBN0018","2022-06","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","15",",N","8",",N","0",",N","","","","","","","","","20220605",",,N","","","","","18.5",",,N,05,","67.6",",,,N","",""
"US1ORBN0018","2022-07","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","2","1,N","1","1,N","0","1,N","","","","","","","","","20220706",",1,N","","","","","4.1","1,,N,06,","4.4","1,,,N","",""
"US1ORBN0018","2022-08","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","1",",N","0",",N","0",",N","","","0","1,N","","","20220831","+,1,N","20220810",",,N","","","0","1,,N,31,+","0.3",",,N,10,","0.3",",,,N","0","1,,,N"
"US1ORBN0018","2022-09","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","4","3,N","2","3,N","0","3,N","","","","","","","","","20220929",",3,N","","","","","3.6","3,,N,29,","7.7","3,,,N","",""
"US1ORBN0018","2022-10","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","8",",N","4",",N","0",",N","","","","","","","","","20221026",",,N","","","","","8.4",",,N,26,","23.5",",,,N","",""
"US1ORBN0018","2022-11","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","21",",N","13",",N","4",",N","","","","","","","","","20221108",",,N","","","","","44.7",",,N,08,","219.8",",,,N","",""
"US1ORBN0018","2023-01","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","23","1,N","12","1,N","0","1,N","","","","","","","","","20230112",",1,N","","","","","13.7","1,,N,12,","88.9","1,,,N","",""
"US1ORBN0018","2023-02","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","15",",N","9",",N","0",",N","","","","","","","","","20230214",",,N","","","","","13.0",",,N,14,","76.7",",,,N","",""
"US1ORBN0018","2023-03","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","26",",N","11",",N","0",",N","","","","","","","","","20230313",",,N","","","","","24.4",",,N,13,","117.2",",,,N","",""
"US1ORBN0018","2023-04","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","22",",N","13",",N","0",",N","","","","","","","","","20230401",",,N","","","","","22.9",",,N,01,","147.3",",,,N","",""
"US1ORBN0018","2023-05","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","3","4,N","2","4,N","0","4,N","","","","","","","","","20230506",",4,N","","","","","4.3","4,,N,06,","11.9",",a,,N","",""
"US1ORBN0018","2023-06","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","2",",N","0",",N","0",",N","","","0","2,N","","","20230630","+,2,N","20230619",",,N","","","0","2,,N,30,+","2.3",",,N,19,","3.3",",,,N","0","2,,,N"
"US1ORBN0018","2023-07","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","1","5,N","0","5,N","0","5,N","","","","","","","","","20230725",",5,N","","","","","0.3","5,,N,25,","0.3","1,a,,N","",""
"US1ORBN0018","2023-08","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","2",",N","0",",N","0",",N","","","0","2,N","","","20230831","+,2,N","20230831",",,N","","","0","2,,N,31,+","0.8",",,N,31,","1.1",",,,N","0","2,,,N"
"US1ORBN0018","2023-09","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","11","3,N","6","3,N","0","3,N","","","","","","","","","20230925",",3,N","","","","","20.3","3,,N,25,","72.8","3,,,N","",""
"US1ORBN0018","2023-10","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","16","4,N","8","4,N","0","4,N","","","","","","","","","20231025",",4,N","","","","","20.1","4,,N,25,","81.2",",a,,N","",""
"US1ORBN0018","2023-11","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","21",",N","9",",N","1",",N","","","","","","","","","20231106",",,N","","","","","29.0",",,N,06,","127.8",",,,N","",""
"US1ORBN0018","2023-12","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","29","1,N","16","1,N","1","1,N","","","","","","","","","20231203",",1,N","","","","","28.4","1,,N,03,","195.1","1,,,N","",""
"US1ORBN0018","2024-02","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","23",",N","11",",N","1",",N","","","","","","","","","20240229",",,N","","","","","31.5",",,N,29,","132.1",",,,N","",""
"US1ORBN0018","2024-03","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","18",",N","14",",N","0",",N","","","","","","","","","20240301",",,N","","","","","21.8",",,N,01,","159.1",",,,N","",""
"US1ORBN0018","2024-04","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","17",",N","11",",N","0",",N","","","","","","","","","20240430",",,N","","","","","7.1",",,N,30,","51.9",",,,N","",""
"US1ORBN0018","2024-05","44.5915","-123.2338","64.6","CORVALLIS 2.5 NE, OR US","14",",N","6",",N","1",",N","","","","","","","","","20240504",",,N","","","","","36.6",",,N,04,","76.9",",,,N","",""
