"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TNHL0012","2009-07","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","8",",N","7",",N","1",",N","","","","","20090729",",,N","","","57.4",",,N,29,","135.0",",,,N","",""
"US1TNHL0012","2009-08","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","13",",N","9",",N","1",",N","","","","","20090801",",,N","","","26.4",",,N,01,","98.0",",,,N","",""
"US1TNHL0012","2009-09","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","13",",N","9",",N","4",",N","","","","","20090921",",,N","","","43.2",",,N,21,","195.1",",,,N","",""
"US1TNHL0012","2009-10","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","16","2,N","10","2,N","1","2,N","","","","","20091005",",2,N","","","30.5","2,,N,05,","134.1","2,,,N","",""
"US1TNHL0012","2009-11","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","6",",N","6",",N","1",",N","","","","","20091111",",,N","","","53.3",",,N,11,","91.3",",,,N","",""
"US1TNHL0012","2009-12","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","12",",N","9",",N","2",",N","","","","","20091209",",,N","","","82.6",",,N,09,","212.5",",,,N","",""
"US1TNHL0012","2010-01","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","10",",N","8",",N","2",",N","","","","","20100125",",,N","","","52.1",",,N,25,","160.6",",,,N","",""
"US1TNHL0012","2010-02","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","8",",N","6",",N","1",",N","","","","","20100205",",,N","","","48.8",",,N,05,","98.9",",,,N","",""
"US1TNHL0012","2010-03","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","13","1,N","7","1,N","1","1,N","","","","","20100313",",1,N","","","30.5","1,,N,13,","121.6","1,,,N","",""
"US1TNHL0012","2010-04","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","6","2,N","4","2,N","0","2,N","","","","","20100409",",2,N","","","23.6","2,,N,09,","59.4","2,,,N","",""
"US1TNHL0012","2010-05","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","9",",N","8",",N","1",",N","","","","","20100503",",,N","","","57.2",",,N,03,","106.0",",,,N","",""
"US1TNHL0012","2010-06","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","14",",N","12",",N","1",",N","","","","","20100610",",,N","","","27.9",",,N,10,","126.9",",,,N","",""
"US1TNHL0012","2010-07","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","11",",N","7",",N","3",",N","","","","","20100713",",,N","","","36.8",",,N,13,","115.4",",,,N","",""
"US1TNHL0012","2010-08","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","9",",N","2",",N","0",",N","","","","","20100818",",,N","","","9.7",",,N,18,","23.2",",,,N","",""
"US1TNHL0012","2010-09","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","6","2,N","4","2,N","0","2,N","","","","","20100922",",2,N","","","14.7","2,,N,22,","35.8","2,,,N","",""
"US1TNHL0012","2010-10","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","5",",N","2",",N","2",",N","0","5,N","20101031","+,5,N","20101027",",,N","0","5,,N,31,+","58.4",",,N,27,","95.5",",,,N","0","5,,,N"
"US1TNHL0012","2010-11","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","9",",N","7",",N","1",",N","","","","","20101130",",,N","","","47.0",",,N,30,","157.7",",,,N","",""
"US1TNHL0012","2010-12","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","9",",N","5",",N","1",",N","","","","","20101201",",,N","","","50.8",",,N,01,","84.6",",,,N","",""
"US1TNHL0012","2011-01","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","7","2,N","6","2,N","2","2,N","","","","","20110102",",2,N","","","48.3","2,,N,02,","111.3","2,,,N","",""
"US1TNHL0012","2011-02","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","5","2,N","3","2,N","0","2,N","","","","","20110225",",2,N","","","17.3","2,,N,25,","45.0","2,,,N","",""
"US1TNHL0012","2011-03","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","15",",N","10",",N","5",",N","","","","","20110306",",,N","","","82.3",",,N,06,","304.3",",,,N","",""
"US1TNHL0012","2011-04","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","6",",N","6",",N","3",",N","","","","","20110416",",,N","","","93.2",",,N,16,","275.1",",,,N","",""
"US1TNHL0012","2011-05","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","8","2,N","3","2,N","1","2,N","","","","","20110504",",2,N","","","33.5","2,,N,04,","61.7","2,,,N","",""
"US1TNHL0012","2011-06","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","7","1,N","5","1,N","1","1,N","","","","","20110616",",1,N","","","71.1","1,,N,16,","113.2","1,,,N","",""
"US1TNHL0012","2011-07","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","2","1,N","2","1,N","0","1,N","0","4,N","20110731","+,4,N","20110715",",1,N","0","4,,N,31,+","9.4","1,,N,15,","13.2","1,,,N","0","4,,,N"
"US1TNHL0012","2011-08","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","1","1,N","0","1,N","0","1,N","0","2,N","20110831","+,2,N","20110821",",1,N","0","2,,N,31,+","1.5","1,,N,21,","1.5","1,,,N","0","2,,,N"
"US1TNHL0012","2011-09","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","9","1,N","8","1,N","2","1,N","","","","","20110906",",1,N","","","217.2","1,,N,06,","345.5","1,,,N","",""
"US1TNHL0012","2011-10","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","8",",N","6",",N","1",",N","","","","","20111019",",,N","","","55.9",",,N,19,","116.1",",,,N","",""
"US1TNHL0012","2011-11","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","11","1,N","9","1,N","3","1,N","","","","","20111128",",1,N","","","69.9","1,,N,28,","224.9","1,,,N","",""
"US1TNHL0012","2011-12","35.216797","-85.04406","264.9","BLUE SPRINGS 2.0E, TN US","8","2,N","7","2,N","2","2,N","","","","","20111207",",2,N","","","40.6","2,,N,07,","156.0","2,,,N","",""
