"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXAT0025","2015-07","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","2","2,N","2","2,N","0","2,N","","","","","20150701",",2,N","","","7.9","2,,N,01,","14.0","2,,,N","",""
"US1TXAT0025","2015-11","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","8","2,N","3","2,N","1","2,N","","","","","20151128",",2,N","","","48.3","2,,N,28,","68.7","2,,,N","",""
"US1TXAT0025","2015-12","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4","1,N","4","1,N","0","1,N","","","","","20151213",",1,N","","","10.2","1,,N,13,","24.4","1,,,N","",""
"US1TXAT0025","2016-01","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","7","1,N","4","1,N","1","1,N","","","","","20160103",",1,N","","","29.2","1,,N,03,","65.8","1,,,N","",""
"US1TXAT0025","2016-03","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","8","1,N","4","1,N","0","1,N","","","","","20160310",",1,N","","","16.3","1,,N,10,","48.1","1,,,N","",""
"US1TXAT0025","2016-06","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","5","5,N","4","5,N","1","5,N","","","","","20160601",",5,N","","","36.3","5,,N,01,","64.2","5,,,N","",""
"US1TXAT0025","2016-08","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","10","3,N","8","3,N","1","3,N","","","","","20160821",",3,N","","","177.8","3,,N,21,","257.9","3,,,N","",""
"US1TXAT0025","2016-09","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","6","1,N","2","1,N","1","1,N","","","","","20160926",",1,N","","","47.5","1,,N,26,","58.0","1,,,N","",""
"US1TXAT0025","2016-10","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","0",",N","0",",N","0",",N","","","","","20161031","+,,N","","","0.0",",,N,31,+","0.0",",,,N","",""
"US1TXAT0025","2016-11","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4","4,N","2","4,N","1","4,N","","","","","20161109",",4,N","","","25.4","4,,N,09,","32.0","4,,,N","",""
"US1TXAT0025","2016-12","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","8","2,N","4","2,N","2","2,N","","","","","20161203",",2,N","","","44.5","2,,N,03,","111.6","2,,,N","",""
"US1TXAT0025","2017-02","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","5","4,N","3","4,N","2","4,N","","","","","20170220",",4,N","","","26.4","4,,N,20,","55.1","4,,,N","",""
"US1TXAT0025","2017-03","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4","2,N","3","2,N","1","2,N","","","","","20170305",",2,N","","","35.6","2,,N,05,","52.9","2,,,N","",""
"US1TXAT0025","2017-05","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","6","2,N","5","2,N","1","2,N","","","","","20170522",",2,N","","","49.0","2,,N,22,","77.0","2,,,N","",""
"US1TXAT0025","2017-06","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","6",",N","4",",N","0",",N","","","","","20170601",",,N","","","24.9",",,N,01,","61.3",",,,N","",""
"US1TXAT0025","2017-07","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4","1,N","1","1,N","0","1,N","","","","","20170713",",1,N","","","11.2","1,,N,13,","13.5","1,,,N","",""
"US1TXAT0025","2017-08","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","7","1,N","6","1,N","2","1,N","","","","","20170808",",1,N","","","58.2","1,,N,08,","132.6","1,,,N","",""
"US1TXAT0025","2017-09","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","5","1,N","5","1,N","1","1,N","","","","","20170927",",1,N","","","44.5","1,,N,27,","88.9","1,,,N","",""
"US1TXAT0025","2017-10","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","2","3,N","1","3,N","0","3,N","","","","","20171004",",3,N","","","13.5","3,,N,04,","15.3","3,,,N","",""
"US1TXAT0025","2017-11","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4","2,N","1","2,N","0","2,N","","","","","20171112",",2,N","","","3.8","2,,N,12,","6.2","2,,,N","",""
"US1TXAT0025","2017-12","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","5","3,N","4","3,N","1","3,N","","","","","20171217",",3,N","","","25.4","3,,N,17,","75.3","3,,,N","",""
"US1TXAT0025","2018-01","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","3","1,N","1","1,N","0","1,N","","","","","20180120",",1,N","","","2.5","1,,N,20,","4.3","1,,,N","",""
"US1TXAT0025","2018-02","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","10","3,N","3","3,N","0","3,N","","","","","20180225",",3,N","","","14.7","3,,N,25,","36.4","3,,,N","",""
"US1TXAT0025","2018-03","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","3",",N","2",",N","1",",N","","","","","20180329",",,N","","","31.0",",,N,29,","49.1",",,,N","",""
"US1TXAT0025","2018-04","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","2","5,N","2","5,N","0","5,N","","","","","20180426","+,5,N","","","5.1","5,,N,26,+","10.2","5,,,N","",""
"US1TXAT0025","2018-05","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","2","1,N","2","1,N","1","1,N","","","","","20180521",",1,N","","","48.0","1,,N,21,","63.5","1,,,N","",""
"US1TXAT0025","2018-06","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4","1,N","2","1,N","0","1,N","","","","","20180620",",1,N","","","9.1","1,,N,20,","14.7","1,,,N","",""
"US1TXAT0025","2018-07","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","6",",N","4",",N","1",",N","","","","","20180705",",,N","","","31.0",",,N,05,","59.2",",,,N","",""
"US1TXAT0025","2018-08","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4","4,N","3","4,N","0","4,N","","","","","20180813",",4,N","","","17.5","4,,N,13,","42.6","4,,,N","",""
"US1TXAT0025","2018-09","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","16",",N","12",",N","5",",N","","","","","20180909",",,N","","","72.4",",,N,09,","300.7",",,,N","",""
"US1TXAT0025","2018-10","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","12","1,N","10","1,N","1","1,N","","","","","20181009",",1,N","","","25.9","1,,N,09,","117.6","1,,,N","",""
"US1TXAT0025","2018-11","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","5","5,N","2","5,N","1","5,N","","","","","20181109",",5,N","","","56.6","5,,N,09,","62.7","5,,,N","",""
"US1TXAT0025","2018-12","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","6",",N","3",",N","1",",N","","","","","20181208",",,N","","","34.3",",,N,08,","46.5",",,,N","",""
"US1TXAT0025","2019-01","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","7","2,N","4","2,N","0","2,N","","","","","20190112",",2,N","","","11.9","2,,N,12,","34.0","2,,,N","",""
"US1TXAT0025","2019-02","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","3","1,N","2","1,N","0","1,N","","","","","20190210",",1,N","","","5.3","1,,N,10,","11.7","1,,,N","",""
"US1TXAT0025","2019-03","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","0","2,N","0","2,N","0","2,N","","","","","20190331","+,2,N","","","0.0","2,,N,31,+","0.0","2,,,N","",""
"US1TXAT0025","2019-04","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4","1,N","3","1,N","3","1,N","","","","","20190407",",1,N","","","35.8","1,,N,07,","96.8","1,,,N","",""
"US1TXAT0025","2019-05","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","7","1,N","5","1,N","2","1,N","","","","","20190531",",1,N","","","39.9","1,,N,31,","99.6","1,,,N","",""
"US1TXAT0025","2019-06","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","9","1,N","7","1,N","1","1,N","","","","","20190630",",1,N","","","51.1","1,,N,30,","95.2","1,,,N","",""
"US1TXAT0025","2019-07","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","3","1,N","2","1,N","1","1,N","","","","","20190715",",1,N","","","42.4","1,,N,15,","63.0","1,,,N","",""
"US1TXAT0025","2019-08","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","1","1,N","1","1,N","0","1,N","","","","","20190823",",1,N","","","3.8","1,,N,23,","3.8","1,,,N","",""
"US1TXAT0025","2019-09","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","2","1,N","2","1,N","0","1,N","","","","","20190912",",1,N","","","15.2","1,,N,12,","22.8","1,,,N","",""
"US1TXAT0025","2019-10","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","7",",N","5",",N","1",",N","","","","","20191025",",,N","","","34.8",",,N,25,","87.7",",,,N","",""
"US1TXAT0025","2019-11","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","7",",N","3",",N","0",",N","","","","","20191108",",,N","","","11.2",",,N,08,","19.2",",,,N","",""
"US1TXAT0025","2019-12","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","0",",N","0",",N","0",",N","","","","","20191228","+,,N","","","0.0",",T,N,28,+","0.0",",T,,N","",""
"US1TXAT0025","2020-01","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","8",",N","4",",N","0",",N","","","","","20200122",",,N","","","11.4",",,N,22,","36.0",",,,N","",""
"US1TXAT0025","2020-02","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","3","3,N","1","3,N","0","3,N","","","","","20200212",",3,N","","","6.4","3,,N,12,","9.7","1,a,,N","",""
"US1TXAT0025","2020-03","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","7","2,N","3","2,N","1","2,N","","","","","20200321",",2,N","","","29.5","2,,N,21,","71.2","2,,,N","",""
"US1TXAT0025","2020-04","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","6","1,N","4","1,N","0","1,N","","","","","20200405",",1,N","","","24.9","1,,N,05,","43.2","1,,,N","",""
"US1TXAT0025","2020-05","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","8","4,N","5","4,N","2","4,N","","","","","20200525",",4,N","","","71.4","4,,N,25,","141.6","4,,,N","",""
"US1TXAT0025","2020-06","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","5","1,N","4","1,N","0","1,N","","","","","20200626",",1,N","","","19.8","1,,N,26,","52.8","1,,,N","",""
"US1TXAT0025","2020-07","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","3","2,N","2","2,N","1","2,N","","","","","20200726",",2,N","","","25.4","2,,N,26,","35.3","2,,,N","",""
"US1TXAT0025","2020-08","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","3","4,N","3","4,N","0","4,N","","","","","20200804",",4,N","","","3.8","4,,N,04,","8.8","4,,,N","",""
"US1TXAT0025","2020-09","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","8","1,N","5","1,N","1","1,N","","","","","20200910",",1,N","","","104.1","1,,N,10,","157.7","1,,,N","",""
"US1TXAT0025","2020-11","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","2",",N","2",",N","2",",N","","","","","20201129",",,N","","","75.9",",,N,29,","106.4",",,,N","",""
"US1TXAT0025","2020-12","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","3",",N","2",",N","0",",N","","","","","20201231",",,N","","","11.4",",,N,31,","15.2",",,,N","",""
"US1TXAT0025","2021-01","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","10",",N","3",",N","0",",N","","","","","20210101",",,N","","","16.0",",,N,01,","42.3",",,,N","",""
"US1TXAT0025","2021-02","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4",",N","3",",N","1",",N","1","4,N","20210215",",4,N","20210212",",,N","76","4,,N,15,","37.1",",,N,12,","55.4",",,,N","76","4,,,N"
"US1TXAT0025","2021-03","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","3","2,N","2","2,N","0","2,N","","","","","20210328",",2,N","","","5.3","2,,N,28,","10.3","2,,,N","",""
"US1TXAT0025","2021-04","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","2",",N","2",",N","0",",N","0","3,N","20210430","+,3,N","20210424",",,N","0","3,,N,30,+","10.2",",,N,24,","18.8",",,,N","0","3,,,N"
"US1TXAT0025","2021-05","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","13","1,N","10","1,N","5","1,N","","","","","20210501",",1,N","","","52.6","1,,N,01,","222.9","1,,,N","",""
"US1TXAT0025","2021-06","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","7",",N","5",",N","2",",N","","","","","20210604",",,N","","","91.7",",,N,04,","181.0",",,,N","",""
"US1TXAT0025","2021-07","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","10","2,N","7","2,N","2","2,N","","","","","20210710",",2,N","","","49.3","2,,N,10,","147.3","2,,,N","",""
"US1TXAT0025","2021-08","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","5","3,N","3","3,N","0","3,N","","","","","20210807",",3,N","","","7.9","3,,N,07,","15.9",",a,,N","",""
"US1TXAT0025","2021-09","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4",",N","2",",N","0",",N","0","5,N","20210930","+,5,N","20210930",",,N","0","5,,N,30,+","16.5",",,N,30,","20.6",",,,N","0","5,,,N"
"US1TXAT0025","2021-10","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4",",N","4",",N","2",",N","0","5,N","20211031","+,5,N","20211001",",,N","0","5,,N,31,+","88.9",",,N,01,","138.5",",,,N","0","5,,,N"
"US1TXAT0025","2021-11","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4",",N","3",",N","1",",N","0","4,N","20211130","+,4,N","20211104",",,N","0","4,,N,30,+","25.9",",,N,04,","40.9",",,,N","0","4,,,N"
"US1TXAT0025","2021-12","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","2",",N","2",",N","0",",N","0","3,N","20211231","+,3,N","20211219",",,N","0","3,,N,31,+","8.6",",,N,19,","12.2",",,,N","0","3,,,N"
"US1TXAT0025","2022-01","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","3","1,N","1","1,N","0","1,N","0","5,N","20220131","+,5,N","20220108",",1,N","0","5,,N,31,+","15.2","1,,N,08,","17.8","1,,,N","0","5,,,N"
"US1TXAT0025","2022-02","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","5","1,N","2","1,N","0","1,N","","","","","20220203",",1,N","","","6.4","1,,N,03,","11.8","1,,,N","",""
"US1TXAT0025","2022-03","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","3","1,N","1","1,N","0","1,N","0","5,N","20220331","+,5,N","20220322",",1,N","0","5,,N,31,+","3.8","1,,N,22,","5.4","1,,,N","0","5,,,N"
"US1TXAT0025","2022-04","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","1",",N","1",",N","0",",N","0","2,N","20220430","+,2,N","20220426",",,N","0","2,,N,30,+","2.8",",,N,26,","2.8",",,,N","0","2,,,N"
"US1TXAT0025","2022-05","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","5",",N","3",",N","0",",N","0","5,N","20220531","+,5,N","20220502",",,N","0","5,,N,31,+","13.5",",,N,02,","24.2",",,,N","0","5,,,N"
"US1TXAT0025","2022-06","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","2","2,N","2","2,N","0","2,N","0","5,N","20220630","+,5,N","20220629",",2,N","0","5,,N,30,+","16.8","2,,N,29,","22.1","2,,,N","0","5,,,N"
"US1TXAT0025","2022-07","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","2",",N","1",",N","0",",N","0","3,N","20220731","+,3,N","20220703",",,N","0","3,,N,31,+","3.3",",,N,03,","3.8",",,,N","0","3,,,N"
"US1TXAT0025","2022-08","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","7","1,N","7","1,N","3","1,N","","","","","20220823",",1,N","","","84.1","1,,N,23,","228.3","1,,,N","",""
"US1TXAT0025","2022-09","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","3",",N","2",",N","0",",N","0","3,N","20220930","+,3,N","20220909",",,N","0","3,,N,30,+","9.9",",,N,09,","20.0",",,,N","0","3,,,N"
"US1TXAT0025","2022-11","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","14","1,N","6","1,N","0","1,N","","","","","20221126",",1,N","","","22.4","1,,N,26,","51.7","1,,,N","",""
"US1TXAT0025","2022-12","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4","1,N","1","1,N","0","1,N","","","","","20221219",",1,N","","","5.1","1,,N,19,","6.7","1,,,N","",""
"US1TXAT0025","2023-01","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4",",N","3",",N","0",",N","0","5,N","20230131","+,5,N","20230125",",,N","0","5,,N,31,+","10.4",",,N,25,","21.0",",,,N","0","5,,,N"
"US1TXAT0025","2023-02","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4","3,N","3","3,N","0","3,N","","","","","20230201",",3,N","","","14.0","3,,N,01,","25.2","3,,,N","",""
"US1TXAT0025","2023-03","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","9","1,N","5","1,N","0","1,N","","","","","20230302",",1,N","","","18.0","1,,N,02,","41.4","1,,,N","",""
"US1TXAT0025","2023-04","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","8","4,N","8","4,N","1","4,N","","","","","20230421",",4,N","","","26.9","4,,N,21,","123.6","2,a,,N","",""
"US1TXAT0025","2023-05","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","11",",N","8",",N","3",",N","","","","","20230513",",,N","","","54.6",",,N,13,","164.7",",,,N","",""
"US1TXAT0025","2023-06","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","6","1,N","5","1,N","0","1,N","","","","","20230604",",1,N","","","20.6","1,,N,04,","40.9","1,,,N","",""
"US1TXAT0025","2023-07","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","1","1,N","1","1,N","0","1,N","0","2,N","20230731","+,2,N","20230724",",1,N","0","2,,N,31,+","10.7","1,,N,24,","10.7","1,,,N","0","2,,,N"
"US1TXAT0025","2023-08","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","1","2,N","1","2,N","0","2,N","0","3,N","20230831","+,3,N","20230823",",2,N","0","3,,N,31,+","19.1","2,,N,23,","19.1","2,,,N","0","3,,,N"
"US1TXAT0025","2023-09","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","1",",N","1",",N","0",",N","0","3,N","20230930","+,3,N","20230915",",,N","0","3,,N,30,+","8.9",",,N,15,","8.9",",,,N","0","3,,,N"
"US1TXAT0025","2023-10","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","9","1,N","5","1,N","1","1,N","","","","","20231027",",1,N","","","38.9","1,,N,27,","74.0","1,,,N","",""
"US1TXAT0025","2023-11","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","7",",N","5",",N","0",",N","","","","","20231113",",,N","","","9.4",",,N,13,","28.0",",,,N","",""
"US1TXAT0025","2023-12","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4","2,N","1","2,N","0","2,N","","","","","20231224",",2,N","","","3.0","2,,N,24,","4.6","2,,,N","",""
"US1TXAT0025","2024-01","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","5","1,N","3","1,N","0","1,N","","","","","20240122",",1,N","","","23.6","1,,N,22,","61.9","1,,,N","",""
"US1TXAT0025","2024-02","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","4","1,N","3","1,N","1","1,N","0","5,N","20240229","+,5,N","20240203",",1,N","0","5,,N,29,+","34.3","1,,N,03,","44.2","1,,,N","0","5,,,N"
"US1TXAT0025","2024-03","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","5","3,N","2","3,N","1","3,N","","","","","20240317",",3,N","","","28.4","3,,N,17,","36.3","3,,,N","",""
"US1TXAT0025","2024-04","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","","","","","","","","","","","","","","","","","116.6","2,a,,N","",""
"US1TXAT0025","2024-05","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","3","2,N","2","2,N","1","2,N","","","","","20240514",",2,N","","","46.2","2,,N,14,","50.0","2,,,N","",""
"US1TXAT0025","2024-06","29.052943","-98.377783","147.8","PLEASANTON 9.1 NE, TX US","5","2,N","3","2,N","1","2,N","","","","","20240620",",2,N","","","40.6","2,,N,20,","75.2","2,,,N","",""
