"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10york017","2005-07","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","4",",N","2",",N","0",",N","20050718",",,N","20.6",",,N,18,","30.8",",,,N"
"US10york017","2005-08","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","6",",N","5",",N","1",",N","20050812",",,N","25.4",",,N,12,","63.2",",,,N"
"US10york017","2005-09","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","3",",N","1",",N","0",",N","20050906",",,N","9.7",",,N,06,","10.8",",,,N"
"US10york017","2006-03","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","0",",N","0",",N","0",",N","20060331","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10york017","2006-04","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","8",",N","8",",N","0",",N","20060403",",,N","13.2",",,N,03,","75.4",",,,N"
"US10york017","2006-05","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","6",",N","3",",N","0",",N","20060524",",,N","23.4",",,N,24,","39.7",",,,N"
"US10york017","2006-06","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","5",",N","3",",N","1",",N","20060617",",,N","28.4",",,N,17,","46.2",",,,N"
"US10york017","2006-07","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","2",",N","1",",N","0",",N","20060714",",,N","9.4",",,N,14,","11.4",",,,N"
"US10york017","2006-08","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","11",",N","10",",N","3",",N","20060817",",,N","76.2",",,N,17,","218.6",",,,N"
"US10york017","2006-09","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","5",",N","5",",N","2",",N","20060910",",,N","52.3",",,N,10,","109.2",",,,N"
"US10york017","2006-10","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","2",",N","2",",N","0",",N","20061018",",,N","7.9",",,N,18,","10.4",",,,N"
"US10york017","2006-11","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","1",",N","1",",N","0",",N","20061110",",,N","6.6",",,N,10,","6.6",",,,N"
"US10york017","2006-12","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","3",",N","3",",N","2",",N","20061231",",,N","26.9",",,N,31,","74.4",",,,N"
"US10york017","2007-01","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","0",",N","0",",N","0",",N","20070131","+,,N","0.0",",,N,31,+","0.0",",,,N"
"US10york017","2007-02","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","0",",N","0",",N","0",",N","20070228","+,,N","0.0",",,N,28,+","0.0",",,,N"
"US10york017","2007-03","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","3",",N","3",",N","1",",N","20070331",",,N","28.2",",,N,31,","52.6",",,,N"
"US10york017","2007-04","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","9",",N","7",",N","1",",N","20070425",",,N","90.7",",,N,25,","143.0",",,,N"
"US10york017","2007-05","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","11",",N","9",",N","0",",N","20070523",",,N","23.9",",,N,23,","92.6",",,,N"
"US10york017","2007-06","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","8",",N","4",",N","1",",N","20070614",",,N","35.8",",,N,14,","57.5",",,,N"
"US10york017","2007-07","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","6",",N","5",",N","3",",N","20070713",",,N","30.7",",,N,13,","103.3",",,,N"
"US10york017","2007-08","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","8",",N","6",",N","4",",N","20070829",",,N","58.4",",,N,29,","213.1",",,,N"
"US10york017","2007-09","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","4",",N","3",",N","1",",N","20070919",",,N","29.2",",,N,19,","53.7",",,,N"
"US10york017","2007-10","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","7",",N","6",",N","1",",N","20071008",",,N","37.6",",,N,08,","109.3",",,,N"
"US10york017","2007-11","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","0",",N","0",",N","0",",N","20071130","+,,N","0.0",",,N,30,+","0.0",",,,N"
"US10york017","2008-04","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","5",",N","5",",N","1",",N","20080418",",,N","29.2",",,N,18,","91.9",",,,N"
"US10york017","2010-05","41.0435","-97.427","495.9","GRESHAM 1.7 WNW, NE US","5",",N","5",",N","0",",N","20100512",",,N","12.4",",,N,12,","55.2",",,,N"
